id,user_id,most_useful,unclear_or_improve,confidence_level,would_recommend,future_learning,other_feedback,created_at,updated_at,course_id_uuid,recommend_reason
5356295b-b13f-453f-a737-417e58e14557,de116dc4-f79c-4db1-8224-ba13a6ab244e,The step-by-step process was very useful.,It was unclear which features were available on the Lovable Free account and which ones were not - but I can also understand it is not easy to keep up with the Lovable pricing plan changes.,fairly,yes,I am interested in debugging and understanding a bit of code.,All great so far - thanks!,2026-04-08 14:41:05.848578+00,2026-04-08 14:41:05.848578+00,5e86e580-264c-442c-8cc4-be5645f13e87,"I found it really easy to follow, also when I was not logged via my laptop but rather via mobile."
3805ec27-889b-44e5-8011-d8ef65d7fe6e,0394ae52-5086-4283-a723-e63b8392c9ac,The course explains all the features of Lovable.,Nothing,very,yes,,I like the option to have it speak the content. If that was used throughout the course it would make it even better.,2026-03-09 22:22:28.959045+00,2026-03-09 22:22:28.959045+00,5e86e580-264c-442c-8cc4-be5645f13e87,Straight forward intro the Lovable
6f1fb390-d2b0-474b-9cc5-41d560d4e258,b3d427c0-973a-4b08-acfb-0940fd37f914,,,,,,,2026-03-09 17:14:37.801016+00,2026-03-09 17:14:37.801016+00,5e86e580-264c-442c-8cc4-be5645f13e87,
7b36c61f-459d-44d6-bcb1-401ed54c3669,124bc2df-25b2-4a36-8609-1ec32f81aef1,"How to edit and revise designs based on how severe the issues are. Also, how to start adding things like google authentication and APIs. ","It would be great to have a clearer vision of what I would see as the creator/ manager of the app when users for example fill up event spots (understanding the coordination part of building a useable app). ",very,yes,"More about edge cases. Also, how to make more fun and personalized features. ",,2026-03-09 03:23:20.47019+00,2026-03-09 03:23:20.47019+00,5e86e580-264c-442c-8cc4-be5645f13e87,"It was very thoughtful and the UI was clever. "
d2a00a00-7f19-4ec4-bfef-34c52930b0f0,3f8116c2-6c30-482c-8bb9-e2bcb236bc36,,,fairly,yes,,I don't like the open ended responses,2026-03-09 01:45:56.764454+00,2026-03-09 01:45:56.764454+00,5e86e580-264c-442c-8cc4-be5645f13e87,
b3e73012-f365-45db-bf20-6c1730deceac,049ef7f4-c3f6-49fd-9f87-e9c6089523d2,"It was a really great course, the pace of it was good, the mini tests, the copy button for the prompts made it so easy to use. ",Nothing stands out.,fairly,yes,How to build websites and agents.,"Great job and a great cause/mission! Thank you so much for helping me and providing this for free. I was very intimidated by vibe coding and building apps before, now I feel motivated to keep trying and building my experience and knowledge. ",2026-03-08 22:24:59.104435+00,2026-03-08 22:24:59.104435+00,5e86e580-264c-442c-8cc4-be5645f13e87,"I would because it was a very well designed course, it really did feel like a calm way to learn. "
f9d4cd03-ec3f-4119-b857-39373ced73a7,d53d03d3-164e-407f-bf8c-b872e214af4e,The concepts of structured prompts that AI can understand,,very,yes,Best ways to build more structures for prompts based on the AI you are talking to,Keep on going! This is good work. Thank you for the free womens day trial.,2026-03-08 21:10:33.788025+00,2026-03-08 21:10:33.788025+00,5e86e580-264c-442c-8cc4-be5645f13e87,"I made and published an app that I will use everyday "
a4311660-dc6d-4a19-a686-c0502403d8e7,7969cd3c-aa60-4841-82f9-5c6b65a69dfc,the cloud features,,very,maybe,how to connect to github and make small changes,,2026-03-08 21:04:56.222133+00,2026-03-08 21:04:56.222133+00,5e86e580-264c-442c-8cc4-be5645f13e87,I learned much of this on my own. Lovable is pretty intuitive
b8dd75af-8e4b-4443-aefa-4e84e9be7e51,d59887b3-bae3-4cc1-a635-7291ffe7f316,,,,,,,2026-03-08 19:20:29.653158+00,2026-03-08 19:20:29.653158+00,5e86e580-264c-442c-8cc4-be5645f13e87,
9e09da10-decc-41b4-a2b5-d1bf062e4d06,d772231a-e6bf-44fe-8dca-8012af8d88fb,,,,,,,2026-03-08 18:15:19.720834+00,2026-03-08 18:15:19.720834+00,5e86e580-264c-442c-8cc4-be5645f13e87,
7c2175d9-e3c4-47e7-9ef7-3b1bc354bb51,c008b19b-3215-478a-abd2-93f2bc3553ff,The practical steps :),I'd probably clarify that the model does not evaluate correctly the tasks if the USER is not stated clearly every time,very,yes,"LLMs settings, tricks and tips 
Refining my prototype :)",Keep up!,2025-12-15 23:49:00.213771+00,2025-12-15 23:49:00.213771+00,e16d932e-ac1f-4514-b5da-42629acf39ae,I've been learning quickly and efficiently
49be168d-7b9b-4fd3-9922-0e29ab9774f6,f4f0b9ce-5e4a-4b54-8444-5f3c2bf9af11,Backend and frontend structure,how to mantain the app low cost - sometimes API keys are AI tokens and it could be a massive bill,a_little,maybe,"How to de-bug the website, how to maintain the website",,2025-12-15 09:39:36.714555+00,2025-12-15 09:39:36.714555+00,4794366d-b807-4804-8fd5-64c3a5a03472,"It was great start, but don't know if this is enough to make an end-to-end only with vibe coding."
ae1ff960-0a93-49db-87d2-94ac61098176,d5816999-1d3c-4fe7-a32f-ba2372b888a8,,,fairly,yes,,,2025-12-15 05:29:12.323617+00,2025-12-15 05:29:12.323617+00,4794366d-b807-4804-8fd5-64c3a5a03472,Easy to understand and just the info needed for an overview to avoid pitfalls
4242d2b9-98ff-4656-aaf5-a0285e45a01e,8ef52622-d1cc-474f-93a9-745c6bdb5111,,,,,,,2025-12-13 00:51:26.91299+00,2025-12-13 00:51:26.91299+00,e16d932e-ac1f-4514-b5da-42629acf39ae,
5062cb68-8118-429b-9980-3aa73d37342a,8ef52622-d1cc-474f-93a9-745c6bdb5111,,,,,,,2025-12-12 22:54:05.938653+00,2025-12-12 22:54:05.938653+00,4794366d-b807-4804-8fd5-64c3a5a03472,
8578214e-7263-480f-9221-d25e02b3aef0,5fe0e405-7b51-4d2b-abd0-ae4f4521ca44,pace and opportunities to practice lessons and get realtime feedback,,fairly,maybe,,,2025-12-11 22:02:24.178174+00,2025-12-11 22:02:24.178174+00,e16d932e-ac1f-4514-b5da-42629acf39ae,
7839d531-3993-44a0-b0d5-d39f683de8fd,8c919e46-f0ee-4c0f-bbab-b279e830d341,"Getting hands on experience with the end-to-end process, from breaking down the problem definition > user persona > storyboarding > user story mapping to reducing MVP scope, getting AI feedback, structuring a prompt, etc. 

I am an overthinker so the AI feedback was great",,very,yes,,,2025-12-11 04:16:48.388674+00,2025-12-11 04:16:48.388674+00,e16d932e-ac1f-4514-b5da-42629acf39ae,
d219fb91-79ab-47f9-9feb-1e278cc68fa8,73a964f7-9ac4-4cd6-bf7c-246b293feead,The preparation prior the MVP definition. So key.,"I think everything was clear. The only thing is, sometimes it was too GIFy for me. :-D",fairly,yes,"Maybe ideation, how to find a suitable idea in order to create something valuable.",,2025-12-10 03:58:20.011366+00,2025-12-10 03:58:20.011366+00,e16d932e-ac1f-4514-b5da-42629acf39ae,
87562601-94f9-4bc1-8701-41250600e1c4,8c919e46-f0ee-4c0f-bbab-b279e830d341,The bite-sized breakdowns of core concepts. Made it very digestible and easy to understand. Also loved the quizzes for reinforcing concepts. Fantastic course - may be the best I've seen so far!,"Some visuals / GIFs were great. Others were nice to have but didn't add much besides visual flair and removing the ""intimidation"" factor",fairly,yes,"This was a great breakdown of software concepts to use in prompts but not necessarily in how to prompt for effective vibe-coding or how to plan / design an app effectively. Covering those topics to create an ""end-to-end"" structure / framework / system for defining an idea, breaking it down into specific application components and then turning that into effective prompts. ",Fantastic course - may be the best I've seen so far for breaking down core software concepts!,2025-12-09 17:41:16.211796+00,2025-12-09 17:41:16.211796+00,4794366d-b807-4804-8fd5-64c3a5a03472,
0a939220-f8f6-49ce-b4f7-253d7b9055c9,5fe0e405-7b51-4d2b-abd0-ae4f4521ca44,speed between lessons,na,a_little,maybe,"publishing , beta testing, ",like the gifs,2025-12-08 17:33:09.403096+00,2025-12-08 17:33:09.403096+00,4794366d-b807-4804-8fd5-64c3a5a03472,
64e99d19-e80a-45c4-aabb-d519506d651d,73a964f7-9ac4-4cd6-bf7c-246b293feead,Everything. also the provided links.,It was all clear. I think the GIFs sometimes are just distracting. :-),very,maybe,What else there is regarding vibe coding,,2025-12-08 15:59:45.814315+00,2025-12-08 15:59:45.814315+00,4794366d-b807-4804-8fd5-64c3a5a03472,
87ddb22e-04ef-4ab1-9bb9-670a58012cc0,3de68a6b-ddbe-49c7-8f6d-e5f0b8b16329,Thorough review of different terminology and concepts,Everything was great!,fairly,yes,How does hosting work (ie where does an app or website get created)? What is a fuller list of third party integrations that might be helpful?,,2025-12-07 23:27:54.782222+00,2025-12-07 23:27:54.782222+00,4794366d-b807-4804-8fd5-64c3a5a03472,
6af767f4-da75-4ec0-8491-e5ca960b92d8,790f010a-f5f9-4b45-a42e-660fe1ed85e7,"The self reflection prompts and practical applications. Having practical exercises, even for someone already versed in prompting, turns this the micro-course into an interactive learning experience that feels a bit like a game.","The course level was not the right fit for me (I already know how to prompt). It was still useful as a recap and validation of prompting techniques. Being quite familiar with the topic and having a technical background, going through this 101 micro-course also challenges me to simplify and streamline how I think and express myself when describing what LLMs are and how they work or how prompting works. I find this is a great 101 for pure begginers.",very,maybe,"More advanced techniques, like using Claude Code to vibe code.",The videos feel like filler to me. Would rather have more exercises and reflections to consolidate.,2025-10-23 14:26:08.462604+00,2025-11-08 21:54:55.551748+00,550e8400-e29b-41d4-a716-446655440000,
38f4bc3a-7ca0-42e4-91be-16b32d02ea48,96325db4-dec4-429c-ab96-804583902c01,"the practical, realistic problem based examples and the key takeaway section at the end of each course segment",was satisfied with the content,a_little,yes,"using ai coding agents, crafting presentations, creating excel functions, writing newsletter like emails","loved the memes, and videos too!",2025-10-08 20:22:38.070198+00,2025-11-08 21:54:55.551748+00,550e8400-e29b-41d4-a716-446655440000,
b8337bf4-765e-4db2-afe4-23f7fe695ae7,0c448698-e7e9-403d-a2cb-4247d925a46a,"The content and exercises really help me improve my understanding bit by bit. I think as PMs, we often use ChatGPT to write posts or draft content, but we rarely take the time to realize that giving it proper context and more information makes everything much more productive.",,very,yes,"I’d love to go deeper into how PMs can use AI beyond content creation — especially for processing data, gathering richer user feedback, and generating insights faster. I feel like, as PMs, we’re still a bit lost when it comes to AI. For developers, things seem a lot clearer, but for us, it’s often not obvious which tools or approaches can truly support product strategy and decision-making. I’d really like to learn more practical ways to bridge that gap.",,2025-10-08 07:51:06.259039+00,2025-11-08 21:54:55.551748+00,550e8400-e29b-41d4-a716-446655440000,